stories_id,publish_date,title,url,language,ap_syndicated,story_date_guess_method,story_extractor_version,story_geocoder_version,story_nyt_themes_version,media_id,media_name,media_url,media_pub_country,media_pub_state,media_language,media_about_country,media_media_type
822293846,"2018-03-14 04:00:00","For Villanova's Eric Paschall, defense is the name of the game","http://www.kentucky.com/sports/college/mens-basketball/article205024229.html#storylink=rss","en",False,,"readability-lxml-0.6.2","cliff_clavin_v2.4.1","nyt_labeller_v1.0.0",96,"Lexington Herald-Leader ","http://www.kentucky.com/","United States","Kentucky, United States","English","United States","Print Native"
822358145,"2018-03-14 04:53:52","HMS Blighty Shipping Water, Badly","https://www.counterpunch.org/2018/03/14/hms-blighty-shipping-water-badly/","en",False,,"readability-lxml-0.6.2","cliff_clavin_v2.4.1","nyt_labeller_v1.0.0",63031,"counterpunch.com","http://counterpunch.com/",,,"English","United States",
822481137,"2018-03-14 08:00:21","How to name a cryptocurrency","https://qz.com/1228413/how-to-name-a-cryptocurrency/","en",False,,"readability-lxml-0.6.2","cliff_clavin_v2.4.1","nyt_labeller_v1.0.0",67264,"Quartz","http://qz.com/#spider","United States",,,,"Digital Native"
822473919,"2018-03-14 07:00:00","Man-Cave Rules","https://www.newyorker.com/humor/daily-shouts/man-cave-rules","en",False,,"readability-lxml-0.6.2","cliff_clavin_v2.4.1","nyt_labeller_v1.0.0",1101,"New Yorker","http://www.newyorker.com/","United States",,"English","United States","Print Native"
822519367,"2018-03-14 09:08:23","Advantage: Kansas? Bill Self might coach these UK recruits before they pick a school.","http://www.kentucky.com/sports/college/kentucky-sports/uk-basketball-men/article205031789.html#storylink=rss","en",False,,"readability-lxml-0.6.2","cliff_clavin_v2.4.1","nyt_labeller_v1.0.0",96,"Lexington Herald-Leader ","http://www.kentucky.com/","United States","Kentucky, United States","English","United States","Print Native"
822571030,"2018-03-14 09:40:22","What if computers created the NCAA Tournament bracket? It would have looked like this.","http://www.kentucky.com/sports/college/kentucky-sports/uk-basketball-men/article205035569.html#storylink=rss","en",False,,"readability-lxml-0.6.2","cliff_clavin_v2.4.1","nyt_labeller_v1.0.0",96,"Lexington Herald-Leader ","http://www.kentucky.com/","United States","Kentucky, United States","English","United States","Print Native"
822617157,"2018-03-14 10:00:44","Classy sofas for cats","https://boingboing.net/2018/03/14/classy-sofas-for-cats.html","en",False,,"readability-lxml-0.6.2","cliff_clavin_v2.4.1","nyt_labeller_v1.0.0",1720,"Boing Boing","http://boingboing.net","United States",,"English","United States",
822668289,"2018-03-14 10:29:16","Puppy dies after United Airlines attendant tells woman to store it in the overhead bins, passengers say","https://www.thestar.com/news/world/2018/03/14/puppy-dies-after-united-airlines-attendant-tells-woman-to-store-it-in-the-overhead-bins-passengers-say.html","en",False,,"readability-lxml-0.6.2","cliff_clavin_v2.4.1","nyt_labeller_v1.0.0",38821,"TorontoStar","http://www.thestar.com/","Canada","Ontario, Canada","English","none","Print Native"
822684089,"2018-03-14 11:19:25","Nowhere Cats: Article catches up with former Kentucky players who’ve struggled to find stardom","http://www.kentucky.com/sports/college/kentucky-sports/ex-cats/article205054789.html#storylink=rss","en",False,,"readability-lxml-0.6.2","cliff_clavin_v2.4.1","nyt_labeller_v1.0.0",96,"Lexington Herald-Leader ","http://www.kentucky.com/","United States","Kentucky, United States","English","United States","Print Native"
822719767,"2018-03-14 12:25:00","Dog Dies In Overhead Bin On United Flight; Airline Apologizes","https://www.npr.org/sections/thetwo-way/2018/03/14/593479827/dog-dies-in-overhead-bin-on-united-flight-airline-apologizes?utm_medium=RSS&utm_campaign=national","en",False,,"readability-lxml-0.6.2","cliff_clavin_v2.4.1","nyt_labeller_v1.0.0",1096,"NPR","http://www.npr.org/","United States",,"English","United States","Video Broadcast"
822748747,"2018-03-14 12:26:00","Dog Dies In Overhead Bin On United Flight; Airline Apologizes","http://nhpr.org/post/dog-dies-overhead-bin-united-flight-airline-apologizes","en",False,,"readability-lxml-0.6.2","cliff_clavin_v2.4.1","nyt_labeller_v1.0.0",22716,"nhpr.org","http://www.nhpr.org","United States","New Hampshire, United States","English",,"Video Broadcast"
822843797,"2018-03-14 14:56:41","Stephen Hawking's final words to the internet: robots aren't the problem, capitalism is","https://boingboing.net/2018/03/14/brief-history-of-class-war.html","en",False,,"readability-lxml-0.6.2","cliff_clavin_v2.4.1","nyt_labeller_v1.0.0",1720,"Boing Boing","http://boingboing.net","United States",,"English","United States",
822893246,"2018-03-14 20:16:03","All The Glamorous Things I Will Do When I Am A Rich Old Lady","https://www.buzzfeed.com/natalyalobanova/all-the-glamorous-things-i-will-do-when-i-am-a-rich-old-lady","en",False,,"readability-lxml-0.6.2","cliff_clavin_v2.4.1","nyt_labeller_v1.0.0",56510,"Newsweek","http://newsweek.com/","United States",,"English","none","Digital Native"
822923017,"2018-03-14 14:30:00","We Need a New Category for Today’s Rap Music Because This Shit Ain’t Hip-Hop","https://verysmartbrothas.theroot.com/we-need-a-new-category-for-todays-rap-music-because-thi-1823719678","en",False,,"readability-lxml-0.6.2","cliff_clavin_v2.4.1","nyt_labeller_v1.0.0",25791,"The Root","http://www.theroot.com",,,"English","United States",
822932925,"2018-03-14 16:38:27","Where to eat before, during, after the Sweet Sixteen: Our picks","http://www.kentucky.com/entertainment/restaurants/article205169404.html#storylink=rss","en",False,,"readability-lxml-0.6.2","cliff_clavin_v2.4.1","nyt_labeller_v1.0.0",96,"Lexington Herald-Leader ","http://www.kentucky.com/","United States","Kentucky, United States","English","United States","Print Native"
822951406,"2018-03-14 17:18:07","Villanova-Radford NCAA tournament preview: Keys to the Wildcats' first round game","http://www.philly.com/r?19=961&43=168371&44=476858353&32=3796&7=195227&40=http%3A%2F%2Fwww.philly.com%2Fphilly%2Fsports%2Fcolleges%2Fvillanova%2Fvillanova-radford-ncaa-tournament-preview-analysis-bracket-summary-picks-20180314.html","en",False,,"readability-lxml-0.6.2","cliff_clavin_v2.4.1","nyt_labeller_v1.0.0",18,"Philadelphia Inquirer","http://www.philly.com/inquirer/",,,"English","United States",
822973931,"2018-03-14 15:13:25","Wind Energy&#8217;s Carbon Footprint","https://www.factcheck.org/2018/03/wind-energys-carbon-footprint/","en",False,,"readability-lxml-0.6.2","cliff_clavin_v2.4.1","nyt_labeller_v1.0.0",798,"FactCheck.org","http://factcheck.org/","United States",,"English","United States","Digital Native"
